117/,      HOTDOG/,      2022-12-31/,      2022-12-31/,      2022-12-31
118/,      TOCCINO/,      2022-12-31/,      2023-01-05/,      
119/,      FORK/,      2022-12-31/,      /,      2022-12-31
120/,      SAUSAGE/,      2022-12-31/,      /,      
121/,      CUM CHIPS/,      2022-12-31/,      /,      2022-12-31
122/,      FANTA/,      2022-12-31/,      /,      
123/,      CHIPS/,      2023-01-04/,      /,      
124/,      HOTDOG/,      2023-01-04/,      2023-01-04/,      
125/,      TUNA/,      2023-01-04/,      2023-01-04/,      
126/,      TABLE/,      2023-01-04/,      /,      2023-01-04
127/,      GLOVES/,      2023-01-04/,      /,      
128/,      HAM/,      2023-01-05/,      /,      2023-01-05
129/,      SHRIMP/,      2023-01-05/,      2023-01-05/,      
